"FDAapprovedDrugs","silver(1+) ion 4-{[(pyrimidin-2-yl)azanidyl]sulfonyl}aniline,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1"
"FDAapprovedDrugs","(1S,5S,7R)-7-{[(2S)-3-hydroxy-2-phenylpropanoyl]oxy}-9,9-dimethyl-3-oxa-9-azatricyclo[3.3.1.0^{2,4}]nonan-9-ium bromide","[Br-].[H][C@]12C[C@@H](C[C@@]([H])(C3OC13)[N+]2(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1"
"FDAapprovedDrugs","(1R,3R,5S,8R)-3-[(3-hydroxy-2-phenylpropanoyl)oxy]-8-methyl-8-(propan-2-yl)-8-azabicyclo[3.2.1]octan-8-ium bromide","[Br-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N@+]2(C)C(C)C"
"FDAapprovedDrugs","3-[(2-hydroxy-2-phenylacetyl)oxy]-8,8-dimethyl-8-azabicyclo[3.2.1]octan-8-ium bromide","[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1"
"FDAapprovedDrugs","(3S)-8,8-dimethyl-3-[(2-propylpentanoyl)oxy]-8-azabicyclo[3.2.1]octan-8-ium bromide","[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C"
"FDAapprovedDrugs","3-{[2-hydroxy-2,2-bis(thiophen-2-yl)acetyl]oxy}-1-(3-phenoxypropyl)-1-azabicyclo[2.2.2]octan-1-ium bromide","[Br-].OC(C(=O)OC1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1"
"FDAapprovedDrugs","calcium diacetate,[Ca++].CC([O-])=O.CC([O-])=O"
"FDAapprovedDrugs","calcium bis((3R,4S,5R,6R)-2,3,4,5,6,7-hexahydroxyheptanoate)","[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O"
"FDAapprovedDrugs","2-(trimethylazaniumyl)ethyl carbamate chloride,[Cl-].C[N+](C)(C)CCOC(N)=O"
"FDAapprovedDrugs","gallium(3+) ion tris(nitrooxidane),[Ga+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O"
"FDAapprovedDrugs","gadolinium(3+) ion 2-[4,7-bis(carboxylatomethyl)-10-(2-hydroxypropyl)-1,4,7,10-tetraazacyclododecan-1-yl]acetate","[Gd+3].CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1"
"FDAapprovedDrugs","gadolinium(3+) ion bis((2R,3R,4R,5S)-6-(methylamino)hexane-1,2,3,4,5-pentol) 8-(carboxylatomethyl)-5,11-bis(carboxymethyl)-1-phenyl-2-oxa-5,8,11-triazatridecane-4,13-dioate","[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC(=O)CN(CCN(CCN(CC(O)=O)C(COCC1=CC=CC=C1)C([O-])=O)CC([O-])=O)CC([O-])=O"
"FDAapprovedDrugs","gadolinium(3+) ion bis((2R,3R,4R,5S)-6-(methylamino)hexane-1,2,3,4,5-pentol) 2-[bis({2-[(carboxylatomethyl)(carboxymethyl)amino]ethyl})amino]acetate","[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O"
"FDAapprovedDrugs","gadolinium(3+) ion 2-[bis({2-[(carboxylatomethyl)({[(2-methoxyethyl)carbamoyl]methyl})amino]ethyl})amino]acetate,[Gd+3].COCCNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NCCOC)CC([O-])=O)CC([O-])=O"
"FDAapprovedDrugs","gadolinium(3+) ion 2-[4,7-bis(carboxylatomethyl)-10-[(2R,3S)-1,3,4-trihydroxybutan-2-yl]-1,4,7,10-tetraazacyclododecan-1-yl]acetate","[Gd+3].OC[C@@H](O)[C@@H](CO)N1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1"
"FDAapprovedDrugs","(3S)-3-{[(1S)-1-carbamoyl-2-phenylethyl]carbamoyl}-3-[(2S)-2-[(2S)-2-{2-[(2S,3R)-2-[(2S)-2-[(2S)-2-[(2S)-4-carbamoyl-2-{[(2S)-5-oxopyrrolidin-2-yl]formamido}butanamido]-3-carboxypropanamido]-3-[4-(sulfooxy)phenyl]propanamido]-3-hydroxybutanamido]acetamido}-3-(1H-indol-3-yl)propanamido]-4-(methylsulfanyl)butanamido]propanoic acid","[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O"
"FDAapprovedDrugs","(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2R)-2-{[(2-oxoimidazolidin-1-yl)carbonyl]amino}-2-phenylacetamido]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1"
"FDAapprovedDrugs","(4R,5S,6S)-3-{[(3S,5S)-5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl}-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid","[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H]"
"FDAapprovedDrugs","(R)-[(1S,2S,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl](6-methoxyquinolin-4-yl)methanol","[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12"
"FDAapprovedDrugs","(2S)-2-[(S)-2-ethoxyphenoxy(phenyl)methyl]morpholine,[H][C@]1(CNCCO1)[C@@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1"
"FDAapprovedDrugs","(2S)-2-{[(1R,4S,7S,13S,16R,21R,24R,27S,30S,33R,38R,44S)-21-amino-13-(carbamoylmethyl)-27-(2-carboxyethyl)-44-[(1R)-1-hydroxyethyl]-30-[(4-hydroxyphenyl)methyl]-4-methyl-3,6,12,15,22,25,28,31,40,43,46,51-dodecaoxo-18,19,35,36,48,49-hexathia-2,5,11,14,23,26,29,32,39,42,45,52-dodecaazatetracyclo[22.22.4.2¹⁶,³³.0⁷,¹¹]dopentacontan-38-yl]formamido}-3-(4-hydroxyphenyl)propanoic acid","[H][C@]1(CSSC[C@]2([H])NC(=O)[C@H](CC3=CC=C(O)C=C3)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N3)NC2=O)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)NCC(=O)N1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O"
"FDAapprovedDrugs","(2R,3R,4S,5R)-5-(6-amino-2-chloro-9H-purin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol","[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12"
"FDAapprovedDrugs","(1R,8S,13S,14R)-14-(2-chloroacetyl)-1,8-difluoro-17-hydroxy-2,13,15-trimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-dien-14-yl propanoate","[H][C@]1(F)CC2C3C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)C3(C)CC(O)[C@]2(F)C2(C)C=CC(=O)C=C12"
"FDAapprovedDrugs","(2S)-2-{[(2S)-1-{[(3R,6S,9S,12S,15S)-12-[(2S)-butan-2-yl]-9-(2-carbamoylethyl)-6-(carbamoylmethyl)-15-[(4-methoxyphenyl)methyl]-5,8,11,14,17-pentaoxo-1-thia-4,7,10,13,16-pentaazacycloicosan-3-yl]carbonyl}pyrrolidin-2-yl]formamido}-N-(carbamoylmethyl)-4-methylpentanamide","[H][C@]1(NC(=O)[C@H](CC2=CC=C(OC)C=C2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC"
