id,common_name,smiles_isomeric
ToxinDB,Arsenic,[As+3]
ToxinDB,Lead,[Pb++]
ToxinDB,Mercury,[Hg++]
ToxinDB,Vinyl chloride,C=CCl
ToxinDB,Polychlorinated biphenyls,C1=C(C=C(C(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2)Cl)Cl)Cl
ToxinDB,Benzene,C1=CC=CC=C1
ToxinDB,Cadmium,[Cd++]
ToxinDB,Benzo[a]pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
ToxinDB,Benzo[b]fluoranthene,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1
ToxinDB,Chloroform,C(Cl)(Cl)Cl
ToxinDB,"DDT, P,P'-",C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
ToxinDB,Aroclor 1254,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl
ToxinDB,Aroclor 1260,C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"Dibenzo[a,h]anthracene",C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32
ToxinDB,Trichloroethylene,C(=C(Cl)Cl)Cl
ToxinDB,Dieldrin,C1[C@@H]2C3C([C@H]1C4C2O4)[C@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"Chromium, hexavalent",[Cr+6]
ToxinDB,"Phosphorus, white",[P]
ToxinDB,Chlordane,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"DDE, P,P'-",C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
ToxinDB,Hexachlorobutadiene,C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl
ToxinDB,Aldrin,C1[C@@H]2C=C[C@@H]1[C@@H]3[C@H]2[C@@]4(C(=C([C@@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"DDD, P,P'-",C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
ToxinDB,Benzidine,C1=CC(=CC=C1C2=CC=C(C=C2)N)N
ToxinDB,Aroclor 1248,C1=C(C=C(C=C1Cl)Cl)C2=CC(=CC(=C2)Cl)Cl
ToxinDB,Cyanide,[C-]#N
ToxinDB,Aroclor 1242,C1=CC(=C(C=C1Cl)Cl)C2=C(C=C(C=C2)Cl)Cl
ToxinDB,Toxaphene,C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl
ToxinDB,"Hexachlorocyclohexane, gamma-",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Tetrachloroethylene,C(=C(Cl)Cl)(Cl)Cl
ToxinDB,Heptachlor,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"1,2-Dibromoethane",C(CBr)Br
ToxinDB,"Hexachlorocyclohexane, beta-",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Acrolein,C=CC=O
ToxinDB,Disulfoton,CCOP(=S)(OCC)SCCSCC
ToxinDB,Benzo[a]anthracene,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
ToxinDB,"3,3'-Dichlorobenzidine",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N
ToxinDB,Endrin,C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Beryllium,[Be++]
ToxinDB,"Hexachlorocyclohexane, delta-",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"1,2-Dibromo-3-chloropropane",C(C(CBr)Br)Cl
ToxinDB,Pentachlorophenol,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
ToxinDB,Heptachlor epoxide,C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Carbon tetrachloride,C(Cl)(Cl)(Cl)Cl
ToxinDB,Aroclor 1221,
ToxinDB,Cobalt,[Co++]
ToxinDB,"DDT, O,P'-",C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
ToxinDB,Aroclor 1016,C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl
ToxinDB,Di-n-butyl phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
ToxinDB,Nickel,[Ni++]
ToxinDB,Endosulfan,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Endosulfan sulfate,C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Diazinon,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C
ToxinDB,"Endosulfan, alpha",C1[C@H]2[C@@H](COS(=O)O1)[C@]3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Xylene,CC1=CC(=CC=C1)C
ToxinDB,"Chlordane, cis-",C1[C@@H]2[C@H]([C@@H]([C@@H]1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Dibromochloropropane,C(C(CBr)Br)Cl
ToxinDB,Methoxychlor,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl
ToxinDB,Benzo[k]fluoranthene,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1
ToxinDB,Endrin ketone,C1C2C3C4C1C(=O)C2C5(C3(C(C4(C5Cl)Cl)(Cl)Cl)Cl)Cl
ToxinDB,"Chlordane, trans-",C1[C@@H]2[C@H]([C@@H]([C@H]1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Chromium(VI) oxide,O=[Cr](=O)=O
ToxinDB,Methane,C
ToxinDB,"Endosulfan, beta",C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Aroclor 1232,
ToxinDB,Endrin aldehyde,C1C(C2C3C1C4C5(C2(C(C3(C45Cl)Cl)(Cl)Cl)Cl)Cl)C=O
ToxinDB,Benzofluoranthene,C1=CC=C2C(=C1)C=C3C=CC=C4C3=C2C5=CC=CC=C54
ToxinDB,Toluene,CC1=CC=CC=C1
ToxinDB,2-Hexanone,CCCCC(C)=O
ToxinDB,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl
ToxinDB,Zinc,[Zn++]
ToxinDB,Dimethylarsinic acid,C[As](C)(O)=O
ToxinDB,Di(2-ethylhexyl)phthalate,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
ToxinDB,Chromium,[Cr+3]
ToxinDB,Naphthalene,C1=CC=C2C=CC=CC2=C1
ToxinDB,"1,1-Dichloroethene",C=C(Cl)Cl
ToxinDB,Methylene chloride,C(Cl)Cl
ToxinDB,Aroclor 1240,
ToxinDB,"2,4,6-Trinitrotoluene",CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
ToxinDB,Hydrazine,NN
ToxinDB,"1,2-Dichloroethane",C(CCl)Cl
ToxinDB,"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl
ToxinDB,"2,4-Dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
ToxinDB,Bis(2-chloroethyl) ether,C(CCl)OCCCl
ToxinDB,Thiocyanate,[S-]C#N
ToxinDB,Asbestos,[OH-].[Na+]
ToxinDB,Chlorine,[Cl-]
ToxinDB,Cyclotrimethylenetrinitramine,C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
ToxinDB,Hexachlorobenzene,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"2,4-Dinitrotoluene",CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
ToxinDB,Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
ToxinDB,"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl
ToxinDB,Ethylbenzene,CCC1=CC=CC=C1
